,Symbol,Name,Sector,Clearing Type,Shares,Free Float,Listed In
0,786,786 Investments Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"14,973,750","5,240,813",ALLSHR
1,AABS,AL-Abbas Sugar Mills Ltd.XD,SUGAR & ALLIED INDUSTRIES,NC,"17,362,300","1,736,230",ALLSHR
2,ABL,Allied Bank Ltd.,COMMERCIAL BANKS,NC,"1,145,073,830","114,507,383",ALLSHRKSE100
3,ABOT,Abbott Lab (Pakistan) Ltd.,PHARMACEUTICALS,NC,"97,900,302","21,090,584",ALLSHRKMIALLSHRKSE100
4,ACIETF,Alfalah Consumer Index ETF,EXCHANGE TRADED FUNDS,NC,"6,150,000","6,390,000",
5,ACPL,Attock Cement Pakistan Ltd.,CEMENT,NC,"137,426,961","27,485,392",ALLSHRKMIALLSHR
6,ADAMS,Adam Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"17,291,008","4,322,741",ALLSHRKMIALLSHR
7,ADMM,Artistic Denim Mills Ltd.,TEXTILE COMPOSITE,NC,"84,000,000","4,200,000",ALLSHR
8,AEL,AEL Textiles Ltd.,TEXTILE COMPOSITE,NC,"8,000,000","2,400,000",ALLSHR
9,AGHA,Agha Steel Ind.Ltd.,ENGINEERING,NC,"604,879,058","241,951,623",ACIALLSHRKMIALLSHR
10,AGIC,Askari General Insurance Co.,INSURANCE,NC,"71,901,898","28,760,758",ALLSHR
11,AGIL,Agriauto Industries Ltd.,AUTOMOBILE PARTS & ACCESSORIES,NC,"36,000,000","21,600,000",ALLSHRKMIALLSHR
12,AGL,Agritech Limited,CHEMICAL,NC,"392,430,000","215,836,500",ALLSHR
13,AGLNCPS,Agritech Non-Voting (Pref),CHEMICAL,NC,"159,334,269","71,700,421",ALLSHR
14,AGP,AGP Limited.,PHARMACEUTICALS,NC,"280,000,000","84,000,000",ALLSHRKMIALLSHRKSE100
15,AGSML,Abdullah Shah Ghazi Sugar,SUGAR & ALLIED INDUSTRIES,NC,"79,261,700","19,815,417",ALLSHR
16,AGTL,Al-Ghazi Tractors Ltd.,AUTOMOBILE ASSEMBLER,NC,"57,964,201","3,637,450",ALLSHRKMIALLSHR
17,AHCL,Arif Habib Corporation Ltd.,FERTILIZER,NC,"408,375,000","40,837,500",ALLSHR
18,AHL,Arif Habib Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"65,340,000","19,602,000",ALLSHR
19,AHTM,Ahmad Hassan Textile Mills Ltd.,TEXTILE COMPOSITE,NC,"8,471,535","1,270,730",ALLSHRKMIALLSHR
20,AICL,Adamjee Insurance Co. Ltd.,INSURANCE,NC,"350,000,000","227,500,000",ALLSHRKSE100
21,AIRLINK,Air Link Communication.,TECHNOLOGY & COMMUNICATION,NC,"395,269,231","98,817,308",ALLSHRKMIALLSHRKSE100
22,AKBL,Askari Bank Ltd.,COMMERCIAL BANKS,NC,"1,449,299,207","434,789,762",ALLSHRKSE100
23,AKDHL,AKD Hospitality Limited,MISCELLANEOUS,NC,"2,507,273","1,002,909",ALLSHR
24,AKDSL,AKD Securities Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"557,834,171","27,891,709",ALLSHR
25,AKGL,AL-Khair Gadoon Ltd,MISCELLANEOUS,NC,"10,000,000","1,000,000",ALLSHRKMIALLSHR
26,ALAC,Askari Life Assurance Co.,INSURANCE,NC,"150,172,014","22,525,802",ALLSHR
27,ALIFE,Adamjee Life Assu.Co.Ltd.,INSURANCE,NC,"250,000,000","25,000,000",ALLSHR
28,ALNRS,AL-Noor Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"20,473,755","6,142,111",ALLSHRKMIALLSHR
29,ALTN,Altern Energy Ltd.,POWER GENERATION & DISTRIBUTION,NC,"363,380,000","90,845,000",ALLSHR
30,AMBL,Apna Microfinance Bank Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"428,984,962","21,449,248",ALLSHR
31,ANL,Azgard Nine Ltd,TEXTILE COMPOSITE,NC,"485,409,731","242,704,866",ALLSHRKMIALLSHR
32,ANLNV,Azgard Nine (Non-Voting),TEXTILE COMPOSITE,NC,"5,965,608","1,789,682",ALLSHR
33,ANLPS,Azgard Nine (Pref) 8.95%,TEXTILE COMPOSITE,NC,"66,125,083",0,ALLSHR
34,ANTM,AN Textile Mills Ltd.,TEXTILE COMPOSITE,NC,"9,660,000","1,449,000",ALLSHR
35,APL,Attock Petroleum Ltd.,OIL & GAS MARKETING COMPANIES,NC,"124,416,000","31,104,000",ALLSHRKMI30KMIALLSHRKSE100PSXDIV20
36,ARCTM,Arctic Textile Mills,TEXTILE SPINNING,NC,"13,174,800","2,515,100",ALLSHRKMIALLSHR
37,ARM,Allied Rental Modaraba.,MODARABAS,NC,"220,000,000","11,000,000",ALLSHRKMIALLSHR
38,ARPAK,Arpak International Investments,MISCELLANEOUS,NC,"4,000,000","351,556",ALLSHR
39,ARPL,Archroma Pakistan Ltd.,CHEMICAL,NC,"34,118,229","8,529,470",ALLSHRKMIALLSHRKSE100
40,ARUJ,Aruj Industries Ltd,TEXTILE COMPOSITE,NC,"10,457,890","964,746",ALLSHR
41,ASC,Al Shaheer Corporation Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"374,923,537","299,938,830",ALLSHRKMIALLSHR
42,ASHT,Ashfaq Textile Mills Ltd.,TEXTILE WEAVING,NC,"46,565,035","2,328,252",ALLSHRKMIALLSHR
43,ASIC,Asia Insurance Co. Ltd.,INSURANCE,NC,"73,008,243","21,902,473",ALLSHR
44,ASL,Aisha Steel Mills Ltd.,ENGINEERING,NC,"924,800,809","325,505,584",ALLSHR
